Варіант 1:
Час (t)	Сила (F)
0.05	1.004958e-011
0.10	2.009917e-011
0.15	3.014875e-011
0.20	4.019834e-011
0.25	5.024792e-011
0.30	4.019834e-011
0.35	3.014875e-011
0.40	2.009917e-011
0.45	1.004958e-011
0.50	1.115874e-026
0.55	-9.875147e-012
0.60	-1.975029e-011
0.65	-2.962544e-011
0.70	-3.950059e-011

Варіант 2:
Час (t)	Сила (F)
0.05	6.029449e-011
0.10	1.205890e-010
0.15	1.808835e-010
0.20	2.411780e-010
0.25	3.014725e-010
0.30	2.411780e-010
0.35	1.808835e-010
0.40	1.205890e-010
0.45	6.029449e-011
0.50	6.694907e-026
0.55	-5.924792e-011
0.60	-1.184958e-010
0.65	-1.777438e-010
0.70	-2.369917e-010

Варіант 3:
Час (t)	Сила (F)
0.05	1.808684e-010
0.10	3.617368e-010
0.15	5.426052e-010
0.20	7.234736e-010
0.25	9.043420e-010
0.30	7.234736e-010
0.35	5.426052e-010
0.40	3.617368e-010
0.45	1.808684e-010
0.50	2.008305e-025
0.55	-1.777289e-010
0.60	-3.554579e-010
0.65	-5.331868e-010
0.70	-7.109158e-010

